window,nsup,prd,support...
0,32,12.467452,23,1,6,11,4,0,7,14,5,24,15,8,49,13,25,48,47,30,127,26,10,60,59,95,41,173,188,58,132,18,111,167
1,32,26.750706,31,15,2,8,1,5,4,63,32,110,52,51,255,17,80,3,127,64,16,0,49,120,60,74,12,65,23,67,103,123,196,69
2,32,15.065067,2,3,4,5,11,15,10,63,31,0,1,12,8,9,32,16,22,7,23,64,127,58,6,79,55,99,119,41,126,137,125,233
3,32,10.368702,1,12,7,25,50,6,73,126,30,166,26,24,15,0,23,49,3,11,8,13,48,4,31,14,127,97,67,2,47,83,29,96
4,32,73.848982,4,1,3,0,43,5,186,71,55,127,64,20,121,8,9,40,113,58,155,72,183,200,37,77,126,119,213,94,2,36,63,76
5,32,12.502048,8,5,3,11,0,16,17,31,2,34,12,32,9,15,33,18,65,7,24,37,6,63,22,127,147,68,165,44,45,20,236,105
6,32,15.797936,1,24,12,7,11,13,0,3,5,8,15,25,16,4,50,23,55,88,99,31,127,48,201,57,69,14,43,74,226,230,122,234
7,32,80.879699,2,20,126,4,44,106,82,6,57,32,43,34,105,47,8,60,5,65,170,121,24,156,254,147,23,103,13,201,89,186,246,168
8,32,10.980085,6,8,5,4,3,11,9,34,12,1,18,36,16,2,35,0,19,15,13,10,17,25,64,68,14,225,29,7,141,47,83,184
9,32,15.111322,7,1,12,25,15,0,2,127,6,5,31,13,8,3,14,51,16,32,4,65,26,58,9,108,121,162,60,117,24,173,145,187
10,32,26.323314,1,3,4,2,0,5,8,17,126,16,10,32,7,9,65,14,6,43,48,96,136,19,51,107,47,80,83,85,166,251,169,58
11,32,20.861308,6,9,18,4,19,12,17,8,1,3,37,10,0,38,20,2,41,145,170,24,72,73,235,7,230,36,30,5,114,113,127,185
12,32,16.845134,13,0,26,3,2,12,1,53,14,4,31,5,15,8,54,52,25,7,39,6,27,68,211,85,81,94,178,32,59,222,99,58
13,32,12.832139,2,1,3,15,31,7,0,127,6,254,4,64,32,230,65,8,45,5,58,63,114,17,255,9,201,203,185,158,34,204,223,239
14,32,13.988370,6,18,9,4,10,1,19,8,38,0,12,7,37,15,31,36,39,26,25,11,3,17,5,60,13,65,230,145,75,99,32,128
15,32,25.364306,27,7,0,28,14,13,54,55,31,1,81,39,6,51,15,4,3,29,147,18,26,125,127,64,40,37,30,109,135,80,95,176
16,32,24.373234,2,3,1,8,6,7,15,5,9,0,4,127,254,170,17,58,10,99,186,49,255,176,172,16,82,158,216,52,64,113,150,22
17,32,23.680632,6,9,4,5,38,18,191,10,2,20,7,12,19,11,13,39,40,56,80,37,127,14,8,1,27,59,25,52,165,88,171,207
18,32,40.908429,13,6,27,2,3,14,28,1,60,0,245,93,42,181,125,183,62,171,45,31,152,101,96,227,126,9,102,119,5,99,233,37
19,32,55.956729,1,3,0,4,5,41,140,171,80,10,104,81,7,38,102,115,9,34,82,61,84,86,47,16,30,144,29,22,122,87,32,201
20,32,34.048910,61,9,6,41,14,30,40,10,42,11,12,5,19,31,3,82,1,18,8,81,20,147,220,123,201,89,215,79,27,63,154,62
21,32,24.604227,51,12,2,52,7,14,25,3,102,11,1,50,101,4,46,13,23,15,19,24,129,103,121,81,97,76,208,47,204,87,246,64
22,32,35.669410,30,59,60,19,12,40,15,39,8,13,29,6,20,11,120,10,81,1,9,61,121,18,38,14,109,57,132,44,254,242,48,152
23,32,23.262546,7,13,11,48,3,1,4,24,12,9,23,14,2,47,10,21,97,25,70,8,158,18,0,22,27,37,52,145,141,67,64,198
24,32,15.715049,18,8,37,58,4,29,5,14,0,57,38,9,116,13,2,28,59,6,30,16,115,76,11,117,121,106,53,73,74,7,85,3
25,32,29.026349,23,47,6,11,3,7,46,2,14,30,17,8,31,94,45,22,13,4,24,1,20,16,0,222,106,122,87,65,100,201,204,93
26,32,27.697620,10,34,13,55,8,3,15,54,4,12,111,27,16,11,2,0,56,110,17,24,25,127,141,71,38,203,134,113,108,26,109,225
27,32,28.246463,21,31,12,16,9,127,87,8,10,13,63,236,14,0,5,44,42,62,7,30,29,19,88,3,11,15,123,69,43,26,20,67
28,32,26.489892,1,10,26,11,53,12,13,0,25,63,2,15,151,52,9,27,127,105,51,4,20,104,14,31,126,106,46,24,233,62,76,111
29,32,23.014366,20,61,30,5,6,9,14,31,62,85,42,83,10,40,41,84,124,1,3,82,15,19,125,127,76,22,140,2,44,97,18,16
30,32,32.537191,25,12,2,7,3,24,101,0,50,14,51,1,102,26,10,19,175,23,49,34,4,13,32,6,233,211,39,151,57,115,30,208
